Name,Parent,Primary,Secondary
san diego utc,Utc,260,0.01
Buildings For Lease,Keyword,,
Century City,Keyword,,
Chicago Office,Keyword,,
Commercial Property,Keyword,,
Coworking Space,Keyword,,
Diego Shopping,Keyword,,
Eastgate Mall,Keyword,,
Green Office,Keyword,,
Hyatt,Keyword,,
La Jolla,Keyword,,
Leasing Office,Keyword,,
Los Angeles,Keyword,,
NYC Office,Keyword,,
Office For Rent,Keyword,,
Office Locator,Keyword,,
Orange County,Keyword,,
San Diego,Keyword,,
San Jose,Keyword,,
Sand Canyon,Keyword,,
Santa Clara,Keyword,,
Short Term,Keyword,,
Space Rental,Keyword,,
Spectrum Center,Keyword,,
University Research Park,Keyword,,
Utc,Keyword,,
