# ----------------------------------------,,
# Desktop,,
# Top Conversion Paths,,
# 20140601-20150121,,
# ----------------------------------------,,
,,
MCF Channel Grouping Path,Conversions,Conversion Value
Other Advertising > Direct > Email,136,"$13,499.32 "
Paid Search > Direct > Direct > Direct > Direct > Direct > Other Advertising,135,"$14,558.48 "
Paid Search > Paid Search > Paid Search > Direct > Paid Search > Direct > Direct,135,"$13,851.01 "
Paid Search > Other Advertising > Referral > Other Advertising,135,"$15,983.58 "
Referral > Referral > Direct > Direct,135,"$17,756.51 "
Paid Search > Display > Paid Search > Display > Paid Search,134,"$12,468.02 "
Paid Search > Display > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,134,"$12,708.42 "
Direct > Email > Paid Search > Email,134,"$12,156.38 "
Direct > Email > Paid Search > Paid Search,134,"$15,423.16 "
Direct > Organic Search > Organic Search > Direct > Direct,134,"$11,405.09 "
Direct > Other Advertising > Other Advertising > Paid Search,134,"$10,039.43 "
Organic Search > Referral > Direct > Direct,134,"$14,116.52 "
Organic Search > Referral > Other Advertising,134,"$11,192.07 "
Paid Search > (unavailable) > (unavailable) > (unavailable),133,"$11,788.77 "
Paid Search > (unavailable) > Direct > Direct,133,"$14,506.08 "
Paid Search > Referral > Email,133,"$12,825.92 "
Paid Search > Other Advertising > Paid Search > Other Advertising > Paid Search > Other Advertising,133,"$11,154.54 "
Direct > Direct > Display > Direct > Display,133,"$10,478.49 "
Direct > Email > Email > Direct > Direct > Direct,133,"$12,887.34 "
Direct > Referral > Display,133,"$13,502.63 "
Display > Display > Other Advertising,133,"$12,173.39 "
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Direct > Direct,132,"$15,899.27 "
Paid Search > Paid Search > Paid Search > Paid Search > Other Advertising > Paid Search,132,"$12,090.62 "
Paid Search > Organic Search > Paid Search > Organic Search > Paid Search > Organic Search,132,"$12,388.37 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Display,132,"$12,724.21 "
Direct > Paid Search > Display > Direct > Direct,132,"$11,680.41 "
Direct > Other Advertising > Direct > Paid Search,132,"$13,342.83 "
Email > Email > Email > Email > Referral,132,"$11,955.21 "
Organic Search > Direct > Direct > Direct > Referral,132,"$15,565.12 "
Paid Search > Direct > Direct > Direct > Display > Direct,131,"$13,848.57 "
(unavailable) > Paid Search > (unavailable),131,"$10,789.26 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,131,"$11,416.42 "
Direct > Direct > Referral > Direct > Direct > Direct > Direct > Direct,131,"$12,023.10 "
Direct > Direct > Other Advertising > Direct > Direct > Other Advertising,131,"$11,955.57 "
Display > Display > Display > Display > Display > Display,131,"$10,361.68 "
Paid Search > Direct > Referral > Direct > Direct,130,"$12,926.78 "
Paid Search > Direct > Organic Search > Paid Search > Direct,130,"$16,903.73 "
Direct > Direct > Direct > Direct > Direct > Direct > Email > Direct,130,"$14,340.32 "
Direct > Direct > Paid Search > Direct > Paid Search > Direct,130,"$14,218.38 "
Organic Search > Paid Search > Paid Search > Display,130,"$10,535.48 "
Paid Search > Direct > Email > Paid Search,129,"$13,150.47 "
Paid Search > Direct > Display > Direct > Direct > Direct,129,"$12,846.96 "
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Display,129,"$10,309.64 "
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Other Advertising,129,"$11,408.40 "
Direct > Email > Paid Search > Direct,129,"$13,074.14 "
Direct > Email > Email > Email > Email > Email,129,"$10,826.31 "
Direct > Other Advertising > Direct > Referral,129,"$13,900.45 "
Email > Email > Email > Email > Email > Email > Email > Email > Email,129,"$11,084.70 "
Referral > Email > Direct,129,"$9,631.17 "
Organic Search > Display > Display > Direct,129,"$12,805.28 "
Other Advertising > Paid Search > Other Advertising > Paid Search,129,"$13,435.64 "
Paid Search > Paid Search > Display > Display > Direct,128,"$12,091.60 "
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Referral,128,"$13,103.39 "
Direct > (unavailable) > Paid Search,128,"$14,180.44 "
Direct > Direct > Display > Referral,128,"$13,678.18 "
Direct > Organic Search > Paid Search > Direct > Direct,128,"$11,053.66 "
Display > Direct > Organic Search,128,"$12,165.55 "
Display > Display > Display > Display > Direct,128,"$10,977.02 "
Display > Other Advertising > Direct,128,"$11,318.85 "
Organic Search > Organic Search > Paid Search > Organic Search > Direct,128,"$11,318.72 "
Other Advertising > Organic Search > Paid Search,128,"$10,307.51 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Display > Direct,127,"$12,699.62 "
Direct > Direct > Direct > Direct > Direct > Direct > Other Advertising > Other Advertising,127,"$13,832.61 "
Display > Display > Direct > Display,127,"$10,064.15 "
Organic Search > Direct > Paid Search > Organic Search > Direct,127,"$12,453.69 "
Organic Search > Paid Search > Direct > Paid Search > Direct,127,"$12,936.16 "
Organic Search > Organic Search > Direct > Referral,127,"$14,501.32 "
Other Advertising > Paid Search > Direct > Direct,127,"$12,034.98 "
Paid Search > Organic Search > Display > Display,126,"$13,566.14 "
Paid Search > Organic Search > Display > Organic Search,126,"$11,044.39 "
Paid Search > Other Advertising > Direct > Direct > Other Advertising,126,"$16,479.43 "
(unavailable) > Display > Direct,126,"$10,821.42 "
Direct > Email > Direct > Direct > Direct > Direct > Direct > Direct,126,"$11,728.53 "
Paid Search > Display > Display > Organic Search,125,"$21,673.94 "
Paid Search > Organic Search > Paid Search > Direct > Organic Search,125,"$12,140.84 "
Direct > Direct > Direct > Direct > Paid Search > Direct > Direct > Direct > Direct > Direct,125,"$14,200.11 "
Email > Email > Direct > Email > Direct > Email,125,"$13,644.29 "
Display > Display > Paid Search > Direct,125,"$10,236.84 "
Display > Organic Search > Paid Search,125,"$11,108.94 "
Paid Search > Paid Search > Paid Search > Display > Paid Search > Paid Search > Paid Search,124,"$10,666.35 "
(unavailable) > Display > Display,124,"$9,046.18 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,124,"$12,751.15 "
Direct > Referral > Referral > Direct,124,"$12,491.81 "
Email > Direct > Email > Direct > Direct > Email,124,"$11,117.47 "
Email > Display > Email > Display,124,"$9,468.71 "
Organic Search > Email > Organic Search > Direct,124,"$12,843.37 "
Social Network > Paid Search,124,"$10,280.34 "
Other Advertising > Other Advertising > Direct > Direct > Other Advertising,124,"$11,321.20 "
Paid Search > Direct > Direct > Display > Direct > Direct,123,"$12,536.62 "
Paid Search > Display (impression) > Paid Search,123,"$9,031.05 "
Paid Search > Paid Search > Other Advertising > Other Advertising > Other Advertising > Other Advertising,123,"$11,847.85 "
Paid Search > Other Advertising > Email,123,"$11,839.43 "
Direct > Direct > Direct > (unavailable),123,"$11,250.12 "
Email > Email > Paid Search > Paid Search > Paid Search,123,"$10,079.46 "
Organic Search > (unavailable) > Paid Search,123,"$9,568.80 "
Paid Search > Display > Organic Search > Direct,122,"$10,980.55 "
Paid Search > Other Advertising > Other Advertising > Organic Search,122,"$9,734.80 "
Direct > Direct > Paid Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct,122,"$11,790.17 "
Direct > Paid Search > Paid Search > Email,122,"$12,446.99 "
Direct > Paid Search > Display > Display,122,"$9,666.28 "
Direct > Organic Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct,122,"$15,305.94 "
Referral > Paid Search > Other Advertising,122,"$10,943.14 "
Organic Search > Other Advertising > Direct > Direct > Direct,122,"$11,919.95 "
Direct > Other Advertising > Direct > Other Advertising > Direct,121,"$13,624.04 "
Email > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,121,"$12,206.73 "
Email > Email > Paid Search > Email > Direct,121,"$10,971.45 "
Paid Search > Paid Search > Direct > Direct > Paid Search > Paid Search > Paid Search,120,"$13,505.10 "
Paid Search > Organic Search > Organic Search > Other Advertising,120,"$13,434.95 "
Direct > Direct > Direct > Direct > Direct > Referral > Direct > Direct,120,"$13,251.24 "
Paid Search > (unavailable) > Display,119,"$8,077.01 "
Paid Search > Other Advertising > Direct > Paid Search > Other Advertising,119,"$11,739.88 "
(unavailable) > Other Advertising > Direct,119,"$11,653.36 "
Direct > Other Advertising > Paid Search > Direct,119,"$11,764.95 "
Organic Search > Direct > Paid Search > Paid Search > Direct,119,"$13,382.19 "
Organic Search > Direct > Direct > Direct > Direct > Direct > Other Advertising,119,"$12,860.75 "
Paid Search > Paid Search > Direct > Paid Search > Paid Search > Paid Search > Direct,118,"$13,174.80 "
Paid Search > Other Advertising > Other Advertising > Paid Search > Other Advertising,118,"$10,431.99 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Paid Search,118,"$13,939.26 "
Direct > Direct > Direct > Direct > Direct > Email > Direct > Direct,118,"$12,320.69 "
Direct > Direct > Email > Paid Search,118,"$10,784.58 "
Direct > Organic Search > Other Advertising > Organic Search,118,"$9,630.23 "
Email > Paid Search > Email > Email > Direct,118,"$12,280.37 "
Email > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,118,"$12,396.60 "
Display (impression) > Display (impression) > Paid Search > Paid Search,118,"$8,753.14 "
Organic Search > Paid Search > Paid Search > Referral,118,"$11,439.55 "
Other Advertising > Direct > Direct > Paid Search,118,"$11,708.12 "
Paid Search > Direct > Direct > Referral > Direct,117,"$13,412.13 "
(unavailable) > Organic Search > Other Advertising,117,"$9,063.87 "
Direct > Direct > Direct > Paid Search > Direct > Direct > Direct > Direct > Direct > Direct,117,"$14,892.89 "
Direct > Direct > Direct > Direct > Direct > Direct > Display > Direct > Direct > Direct,117,"$11,874.06 "
Direct > Email > Direct > Referral,117,"$11,508.72 "
Email > Direct > Email > Direct > Email > Direct,117,"$11,191.25 "
Email > Display > Email > Email > Email,117,"$9,097.39 "
Organic Search > Referral > Referral,117,"$12,094.74 "
Organic Search > Paid Search > Display > Direct,117,"$12,599.78 "
Paid Search > Direct > Paid Search > Direct > Other Advertising,116,"$14,551.97 "
Paid Search > Paid Search > Paid Search > Direct > Direct > Paid Search > Paid Search,116,"$13,987.85 "
Paid Search > Paid Search > Paid Search > Direct > Paid Search > Paid Search > Direct,116,"$11,031.96 "
Paid Search > Paid Search > Paid Search > Email > Direct,116,"$11,498.47 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Other Advertising,116,"$14,224.49 "
Direct > Direct > Direct > Direct > Display > Direct > Direct > Direct > Direct > Direct,116,"$16,405.64 "
Direct > Direct > Direct > Direct > Referral > Direct > Direct > Direct,116,"$12,702.93 "
Direct > Direct > Display > Direct > Direct > Direct > Direct > Direct > Direct > Direct,116,"$11,954.13 "
Direct > Direct > Display > Direct > Display > Direct,116,"$9,881.68 "
Direct > Referral > Direct > Direct > Direct > Direct > Direct > Direct,116,"$9,659.33 "
Direct > Paid Search > Email > Email,116,"$12,129.36 "
Email > Email > Display > Display,116,"$9,991.52 "
Display > Display > Display > Direct > Direct,116,"$13,272.35 "
Referral > Organic Search > Referral,116,"$11,773.03 "
Paid Search > Direct > Direct > Direct > Direct > Referral,115,"$13,805.06 "
Paid Search > Paid Search > Direct > Direct > Paid Search > Direct > Direct,115,"$14,384.97 "
Paid Search > Paid Search > Email > Direct > Direct,115,"$11,439.06 "
Paid Search > Other Advertising > Paid Search > Direct > Other Advertising,115,"$11,752.95 "
Direct > Direct > Other Advertising > Direct > Direct > Direct > Direct > Direct,115,"$10,772.13 "
Direct > Paid Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,115,"$15,393.16 "
Email > Direct > Email > Display,115,"$9,556.34 "
Email > Email > Direct > Display,115,"$10,139.77 "
Email > Email > Email > Email > Email > Direct > Direct,115,"$11,010.11 "
Other Advertising > (unavailable) > Other Advertising,115,"$11,370.00 "
Other Advertising > Email > Email,115,"$8,962.21 "
Paid Search > Direct > Direct > Direct > Direct > Organic Search,114,"$14,343.89 "
Paid Search > Paid Search > Organic Search > Paid Search > Organic Search > Paid Search,114,"$10,592.20 "
Direct > Direct > Direct > Email > Direct > Direct > Direct > Direct,114,"$11,652.25 "
Direct > Direct > Paid Search > Paid Search > Direct > Direct > Direct,114,"$11,524.32 "
Direct > Other Advertising > Display > Other Advertising,114,"$10,470.97 "
Email > Direct > Email > Direct > Email > Email,114,"$9,745.97 "
Organic Search > Paid Search > Other Advertising > Direct,114,"$11,247.83 "
Other Advertising > Direct > Other Advertising > Direct > Other Advertising,114,"$11,354.88 "
Paid Search > Direct > Display > Display > Direct,113,"$10,379.47 "
Paid Search > Paid Search > Direct > Other Advertising > Direct,113,"$12,214.59 "
Direct > Email > Direct > Direct > Direct > Email,113,"$9,469.29 "
Direct > Paid Search > Direct > Direct > Direct > Other Advertising,113,"$12,962.89 "
Direct > Paid Search > Direct > Display > Direct,113,"$12,098.03 "
Direct > Paid Search > Direct > Paid Search > Paid Search > Paid Search,113,"$10,976.90 "
Email > Email > Direct > Direct > Direct > Email,113,"$10,346.43 "
Email > Email > Organic Search > Email,113,"$9,638.84 "
Referral > Direct > Direct > Direct > Direct > Direct > Direct,113,"$12,238.99 "
Referral > Email > Email,113,"$10,610.89 "
Referral > Paid Search > Direct > Direct,113,"$11,679.55 "
Referral > Organic Search > Other Advertising,113,"$8,714.30 "
Paid Search > Paid Search > Paid Search > Paid Search > Direct > Direct > Direct > Direct,112,"$11,377.10 "
Direct > Direct > Direct > Paid Search > Direct > Paid Search,112,"$10,782.26 "
Direct > Direct > Referral > Referral,112,"$12,324.14 "
Direct > Email > Direct > Email > Direct > Direct,112,"$13,972.31 "
Direct > Paid Search > Direct > Direct > Organic Search,112,"$10,146.48 "
Email > Organic Search > Email > Direct,112,"$11,162.60 "
Organic Search > Paid Search > Organic Search > Direct > Direct > Direct,112,"$13,845.85 "
Other Advertising > Other Advertising > Display > Other Advertising,112,"$9,909.73 "
Paid Search > Direct > Paid Search > Direct > Direct > Direct > Direct > Direct,111,"$13,682.78 "
Paid Search > Display > Organic Search > Paid Search,111,"$9,908.27 "
Paid Search > Display > Other Advertising > Other Advertising,111,"$12,666.96 "
Paid Search > Paid Search > Paid Search > Paid Search > Display > Paid Search > Paid Search,111,"$11,315.04 "
Paid Search > Organic Search > Paid Search > Direct > Direct > Direct,111,"$12,329.56 "
Direct > Direct > Paid Search > Other Advertising > Other Advertising,111,"$10,431.73 "
Direct > Email > Direct > Direct > Email > Direct,111,"$11,180.62 "
Direct > Email > Display > Direct,111,"$10,084.04 "
Direct > Paid Search > Direct > Direct > Referral,111,"$14,281.60 "
Email > Email > Email > Direct > Email > Email > Email,111,"$9,637.52 "
Referral > Referral > Referral > Referral,111,"$11,263.29 "
Organic Search > Paid Search > Direct > Direct > Direct > Direct > Direct,111,"$12,796.72 "
Organic Search > Organic Search > Direct > Direct > Direct > Direct > Direct > Direct,111,"$13,914.61 "
Other Advertising > Other Advertising > Organic Search > Other Advertising,111,"$9,460.06 "
Paid Search > Paid Search > Other Advertising > Paid Search > Paid Search > Paid Search,110,"$9,054.14 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,110,"$10,754.19 "
Direct > Direct > Direct > Direct > Direct > Paid Search > Direct > Direct > Direct > Direct,110,"$15,081.73 "
Direct > Direct > Paid Search > Display > Direct,110,"$11,094.97 "
Organic Search > Display > Display > Organic Search,110,"$11,132.19 "
Paid Search > Direct > Paid Search > Other Advertising > Other Advertising,109,"$13,718.90 "
Paid Search > Paid Search > Direct > Direct > Display,109,"$9,671.65 "
Paid Search > Organic Search > Direct > Direct > Other Advertising,109,"$13,781.98 "
Paid Search > Other Advertising > Paid Search > Organic Search,109,"$9,465.61 "
Paid Search > Other Advertising > Other Advertising > Referral,109,"$11,438.93 "
Direct > Direct > Direct > Direct > Direct > Direct > Organic Search > Direct,109,"$11,410.47 "
Direct > Direct > Direct > Referral > Direct > Direct > Direct > Direct,109,"$11,188.82 "
Direct > Direct > Paid Search > Paid Search > Paid Search > Direct,109,"$10,795.51 "
Email > Email > Email > Paid Search > Paid Search,109,"$9,029.78 "
Social Network > Other Advertising,109,"$6,945.30 "
Paid Search > Direct > Paid Search > Display > Paid Search,108,"$10,080.16 "
Paid Search > Display > Direct > Other Advertising,108,"$10,330.38 "
Paid Search > Paid Search > Direct > Direct > Direct > Direct > Paid Search,108,"$14,918.58 "
Paid Search > Organic Search > Organic Search > Paid Search > Paid Search,108,"$12,830.12 "
Direct > Direct > Organic Search > Direct > Other Advertising,108,"$10,208.46 "
Direct > Email > Display > Email,108,"$9,656.37 "
Direct > Paid Search > Direct > Other Advertising > Other Advertising,108,"$10,397.49 "
Email > Email > Other Advertising > Other Advertising,108,"$8,904.59 "
Email > Organic Search > Email > Email,108,"$10,051.85 "
Organic Search > Direct > Display > Direct > Direct,108,"$11,480.89 "
Organic Search > Paid Search > Organic Search > Organic Search > Direct,108,"$10,262.02 "
Organic Search > Paid Search > Other Advertising > Paid Search,108,"$8,106.68 "
Organic Search > Organic Search > Organic Search > Organic Search > Direct > Direct,108,"$12,458.31 "
Paid Search > Direct > Paid Search > Paid Search > Paid Search > Paid Search > Direct,107,"$10,718.82 "
Paid Search > Direct > Display > Paid Search > Direct,107,"$9,917.63 "
Paid Search > Paid Search > Paid Search > Paid Search > Display > Direct,107,"$10,398.47 "
(unavailable) > (unavailable) > (unavailable) > (unavailable),107,"$8,102.20 "
(unavailable) > (unavailable) > Other Advertising,107,"$8,700.60 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Display > Direct > Direct,107,"$11,229.89 "
Direct > Direct > Direct > Direct > Other Advertising > Direct > Direct > Direct,107,"$11,464.93 "
Direct > Direct > Direct > Other Advertising > Referral,107,"$12,557.66 "
Direct > Direct > Email > Referral,107,"$10,723.02 "
Direct > Other Advertising > Other Advertising > Organic Search,107,"$10,789.09 "
Email > Display > Display > Direct,107,"$9,939.18 "
Display > Direct > Display > Display,107,"$8,377.15 "
Organic Search > Direct > Referral > Direct,107,"$14,154.55 "
Organic Search > Email > Referral,107,"$9,648.17 "
Other Advertising > Display > Display,107,"$8,939.51 "
Paid Search > Paid Search > Direct > Direct > Direct > Other Advertising,106,"$16,214.50 "
Paid Search > Paid Search > Display > Referral,106,"$12,508.02 "
Direct > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,106,"$8,990.89 "
Email > Direct > Direct > Email > Email > Email,106,"$9,327.62 "
Display > Direct > Direct > Paid Search,106,"$10,537.40 "
Display > Paid Search > Display > Paid Search,106,"$7,402.67 "
Organic Search > Display > Organic Search > Organic Search,106,"$9,741.97 "
Other Advertising > Other Advertising > Other Advertising > Paid Search,106,"$10,665.09 "
Paid Search > Email > Email > Email > Direct,105,"$10,467.99 "
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,105,"$11,100.14 "
Paid Search > Paid Search > Paid Search > Organic Search > Paid Search > Paid Search > Paid Search > Paid Search,105,"$10,910.92 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Paid Search,105,"$8,520.93 "
Direct > Direct > Direct > Direct > Organic Search > Other Advertising,105,"$10,170.26 "
Direct > Organic Search > Paid Search > Other Advertising,105,"$17,201.04 "
Organic Search > Direct > Display > Display,105,"$8,705.78 "
Paid Search > Display > Direct > Paid Search > Paid Search,104,"$9,660.49 "
Paid Search > Paid Search > Organic Search > Paid Search > Other Advertising,104,"$8,378.29 "
Paid Search > Paid Search > Other Advertising > Other Advertising > Paid Search,104,"$7,274.81 "
Paid Search > Other Advertising > Direct > Other Advertising > Other Advertising,104,"$11,710.89 "
(unavailable) > Paid Search > Direct > Direct,104,"$9,921.86 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,104,"$8,972.88 "
Direct > Direct > Direct > Other Advertising > Organic Search,104,"$8,964.62 "
Direct > Direct > Organic Search > Referral,104,"$10,764.58 "
Email > Email > Direct > Email > Email > Email > Email,104,"$9,493.76 "
Email > Email > Email > Email > Email > Email > Email > Direct,104,"$9,477.96 "
Email > Paid Search > Paid Search > Organic Search,104,"$7,988.20 "
Email > Paid Search > Organic Search > Paid Search,104,"$9,090.22 "
Organic Search > Paid Search > Organic Search > Paid Search > Paid Search > Paid Search,104,"$9,393.59 "
Organic Search > Organic Search > Direct > Direct > Other Advertising,104,"$9,504.46 "
Other Advertising > Paid Search > Referral,104,"$8,944.06 "
Paid Search > Direct > Direct > Direct > Other Advertising > Other Advertising,103,"$19,968.09 "
Paid Search > Direct > Direct > Paid Search > Direct > Direct > Direct > Direct,103,"$12,332.96 "
Paid Search > Direct > Direct > Organic Search > Paid Search,103,"$13,230.80 "
Paid Search > Paid Search > (unavailable) > Paid Search > Paid Search,103,"$9,093.08 "
Paid Search > Paid Search > Paid Search > Paid Search > Referral > Paid Search,103,"$11,877.64 "
Paid Search > Paid Search > Paid Search > Direct > Direct > Direct > Paid Search,103,"$9,738.27 "
Paid Search > Paid Search > Paid Search > Organic Search > Direct > Direct,103,"$14,011.97 "
Direct > Direct > Direct > Direct > Direct > Direct > Paid Search > Direct > Direct > Direct,103,"$8,248.27 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Referral,103,"$12,127.80 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Organic Search,103,"$8,711.94 "
Direct > Direct > Direct > Direct > Direct > Direct > Referral > Direct,103,"$9,828.87 "
Direct > Display > Email > Direct,103,"$9,509.77 "
Direct > Organic Search > Direct > Referral,103,"$11,890.18 "
Email > Email > Email > Email > Display,103,"$7,355.73 "
Email > Organic Search > Referral,103,"$8,595.66 "
Referral > Referral > Paid Search,103,"$9,442.46 "
Organic Search > Direct > Direct > Other Advertising > Direct,103,"$9,919.12 "
Organic Search > Paid Search > Organic Search > Paid Search > Organic Search > Paid Search,103,"$9,284.52 "
Other Advertising > Direct > Display > Other Advertising,103,"$8,880.21 "
Other Advertising > Other Advertising > Email,103,"$9,675.31 "
Paid Search > (unavailable) > Paid Search > Direct,102,"$10,553.32 "
Paid Search > Display > Display > Paid Search > Direct,102,"$10,251.49 "
Paid Search > Paid Search > Paid Search > Display > Display > Paid Search,102,"$9,681.61 "
Paid Search > Other Advertising > Direct > Direct > Direct > Direct,102,"$10,515.72 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,102,"$10,454.33 "
Direct > Direct > Direct > Direct > Direct > Organic Search > Direct > Direct,102,"$10,985.21 "
Direct > Paid Search > Direct > Direct > Display,102,"$8,969.07 "
Direct > Paid Search > Direct > Other Advertising > Direct,102,"$11,159.03 "
Email > Referral > Paid Search,102,"$8,135.91 "
Email > Other Advertising > Email > Email,102,"$6,911.85 "
Organic Search > Email > Email > Direct,102,"$9,854.02 "
Other Advertising > Paid Search > Display,102,"$9,072.71 "
Paid Search > Email > Email > Direct > Direct,101,"$9,866.10 "
Paid Search > Paid Search > Direct > Paid Search > Referral,101,"$10,263.28 "
Paid Search > Paid Search > Paid Search > Display > Paid Search > Direct,101,"$11,367.42 "
Paid Search > Paid Search > Organic Search > Paid Search > Paid Search > Direct,101,"$10,243.66 "
(unavailable) > Organic Search > Paid Search,101,"$11,174.46 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,101,"$8,303.43 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Display,101,"$10,175.71 "
Direct > Direct > Direct > Direct > Email > Direct > Direct > Direct,101,"$11,658.50 "
Direct > Direct > Email > Direct > Email > Direct,101,"$10,591.32 "
Direct > Direct > Display > Direct > Other Advertising,101,"$8,898.51 "
Email > Direct > Direct > Direct > Paid Search,101,"$11,778.39 "
Email > Direct > Direct > Paid Search > Direct,101,"$10,460.95 "
Email > Email > Email > Email > Other Advertising,101,"$9,034.69 "
Email > Other Advertising > Direct > Other Advertising,101,"$9,832.19 "
Display > Direct > Direct > Display,101,"$10,954.53 "
Organic Search > Referral > Organic Search > Direct,101,"$9,892.82 "
Paid Search > Paid Search > (unavailable) > Direct,100,"$9,770.06 "
Paid Search > Paid Search > Paid Search > Paid Search > Direct > Organic Search,100,"$8,815.91 "
Paid Search > Other Advertising > Other Advertising > Other Advertising > Direct,100,"$10,281.44 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Other Advertising > Direct,100,"$8,742.37 "
Direct > Direct > Email > Email > Direct > Direct,100,"$7,963.15 "
Direct > Display > Direct > Direct > Other Advertising,100,"$10,031.44 "
Direct > Referral > Direct > Other Advertising,100,"$10,150.29 "
Direct > Paid Search > Paid Search > Paid Search > Organic Search,100,"$7,583.38 "
Direct > Organic Search > Display > Direct,100,"$9,113.48 "
Display > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,100,"$11,165.00 "
Organic Search > (unavailable) > (unavailable),100,"$7,620.33 "
Other Advertising > Direct > Other Advertising > Other Advertising > Direct,100,"$8,852.73 "
Other Advertising > Paid Search > Other Advertising > Other Advertising > Other Advertising,100,"$8,887.09 "
Paid Search > Direct > Paid Search > Paid Search > Paid Search > Direct > Direct,99,"$9,605.74 "
Paid Search > Display > Paid Search > Direct > Paid Search,99,"$10,025.84 "
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Direct > Paid Search,99,"$10,080.64 "
Paid Search > Organic Search > Direct > Display,99,"$8,353.89 "
(unavailable) > Direct > Organic Search,99,"$9,417.74 "
Direct > Direct > Direct > Display > Display > Direct > Direct,99,"$8,506.01 "
Direct > Direct > Direct > Organic Search > Direct > Direct > Direct > Direct > Direct,99,"$8,581.69 "
Direct > Direct > Direct > Other Advertising > Other Advertising > Direct,99,"$8,971.38 "
Direct > Email > Email > Paid Search,99,"$11,759.20 "
Direct > Paid Search > Referral > Direct,99,"$10,903.09 "
Email > Direct > Direct > Email > Direct > Email,99,"$9,233.17 "
Email > Direct > Email > Email > Email > Email > Email,99,"$7,627.14 "
Display > Direct > Paid Search > Direct,99,"$10,640.06 "
Paid Search > Direct > Direct > Direct > Direct > Display,98,"$11,467.55 "
Paid Search > Paid Search > Paid Search > Direct > Paid Search > Direct > Paid Search,98,"$12,657.45 "
Paid Search > Paid Search > Organic Search > Organic Search > Direct,98,"$8,598.59 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Paid Search > Direct,98,"$8,587.64 "
Direct > Direct > Direct > Direct > Direct > Paid Search > Paid Search,98,"$9,777.52 "
Direct > Direct > Display > Display > Display > Direct,98,"$7,658.11 "
Direct > Direct > Paid Search > Direct > Direct > Paid Search,98,"$9,532.99 "
