# ----------------------------------------,,
# Desktop,,
# Top Conversion Paths,,
# 20140601-20150121,,
# ----------------------------------------,,
,,
MCF Channel Grouping Path,Conversions,Conversion Value
(unavailable) > Direct,"3,057","$288,338.60 "
Direct > Direct > Direct > Paid Search,"3,035","$305,950.13 "
Paid Search > Direct > Direct > Direct > Direct > Direct,"3,017","$382,199.09 "
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,"3,015","$283,271.21 "
Paid Search > Paid Search > Paid Search > Paid Search > Direct,"2,958","$304,036.92 "
Email > Organic Search,"2,949","$260,800.33 "
Display > Paid Search,"2,938","$249,984.80 "
Paid Search > Other Advertising > Paid Search,"2,912","$264,498.36 "
Organic Search > Other Advertising > Other Advertising,"2,858","$247,655.03 "
Organic Search > Direct > Paid Search,"2,845","$276,615.39 "
Display (impression) > Display (impression) > Direct,"2,833","$220,731.02 "
Paid Search > (unavailable),"2,830","$244,288.68 "
Paid Search > Paid Search > Paid Search > Organic Search,"2,815","$259,325.31 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,"2,781","$294,292.33 "
Paid Search > Organic Search > Other Advertising,"2,774","$233,177.07 "
Email > Display,"2,774","$243,168.99 "
Paid Search > Other Advertising > Direct,"2,725","$279,732.02 "
Organic Search > Email,"2,721","$245,245.57 "
Paid Search > Paid Search > Direct > Direct > Direct,"2,642","$295,330.76 "
(unavailable) > Paid Search,"2,622","$225,476.54 "
Paid Search > Direct > Referral,"2,526","$286,271.88 "
Direct > Direct > Direct > Direct > Other Advertising,"2,518","$264,231.79 "
Display > Display,"2,451","$194,189.57 "
Direct > Paid Search > Other Advertising,"2,412","$230,366.24 "
Paid Search > Display > Display,"2,411","$212,286.73 "
Other Advertising > Direct > Other Advertising,"2,402","$230,351.59 "
Paid Search > Paid Search > Organic Search > Paid Search,"2,398","$221,200.50 "
Other Advertising > Referral,"2,346","$242,257.22 "
Email > Email > Email > Direct,"2,331","$224,002.34 "
Direct > Email > Email,"2,316","$208,670.83 "
Direct > Direct > Display > Direct,"2,305","$222,047.18 "
Direct > Paid Search > Paid Search > Paid Search,"2,286","$205,453.74 "
Direct > Direct > Direct > Referral,"2,285","$259,846.94 "
Direct > Referral > Direct,"2,276","$239,000.65 "
Paid Search > Organic Search > Paid Search > Paid Search,"2,262","$203,443.00 "
Direct > Display > Direct > Direct,"2,172","$206,942.06 "
Direct > Paid Search > Direct > Direct > Direct,"2,155","$228,420.73 "
Organic Search > Paid Search > Paid Search > Paid Search,"2,139","$203,629.38 "
Direct > Organic Search > Other Advertising,"2,124","$185,164.14 "
Other Advertising > Organic Search,"2,119","$186,467.10 "
Paid Search > Paid Search > Paid Search > Other Advertising,"2,109","$193,187.67 "
Paid Search > Direct > Display,"2,105","$195,204.94 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,"2,096","$226,944.87 "
Paid Search > Organic Search > Direct > Direct,"2,090","$231,503.19 "
Direct > Paid Search > Organic Search,"2,086","$193,985.38 "
Paid Search > Paid Search > Paid Search > Direct > Direct,"2,073","$230,963.79 "
Organic Search > Organic Search > Direct > Direct,"2,050","$219,510.96 "
Paid Search > Paid Search > Email,"2,038","$187,804.11 "
Email > Paid Search > Paid Search,"2,030","$184,145.91 "
Paid Search > Organic Search > Organic Search,"2,025","$186,867.75 "
Referral > Paid Search,"1,983","$180,167.04 "
Paid Search > Email > Direct,"1,979","$199,277.20 "
Organic Search > Direct > Direct > Direct > Direct > Direct,"1,979","$236,193.62 "
Direct > Organic Search > Direct > Direct,"1,974","$198,289.36 "
Other Advertising > Other Advertising > Direct,"1,935","$189,347.82 "
Email > Paid Search > Email,"1,895","$167,005.08 "
Direct > Direct > Direct > Organic Search,"1,889","$199,800.61 "
Direct > Direct > Other Advertising > Other Advertising,"1,867","$192,692.28 "
Email > Email > Direct > Direct,"1,859","$188,505.30 "
Direct > Paid Search > Paid Search > Direct,"1,823","$185,726.74 "
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,"1,816","$178,058.77 "
Paid Search > Paid Search > Paid Search > Direct > Paid Search,"1,816","$185,723.40 "
Display (impression) > Direct > Direct,"1,815","$149,117.92 "
Direct > Other Advertising > Other Advertising > Other Advertising,"1,775","$172,780.35 "
Display > Direct > Direct,"1,752","$175,887.25 "
Email > Email > Email > Email > Email,"1,748","$147,406.28 "
Direct > Other Advertising > Direct > Direct,"1,739","$195,829.71 "
